2015-07-08 15:06:05 - Humidity state updated to 94.00
2015-07-08 15:12:30 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:12:30 - Window_FF_Office_Door state updated to OPEN
2015-07-08 15:13:00 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:13:00 - Window_GF_Kitchen state updated to OPEN
2015-07-08 15:13:00 - Window_GF_Living state updated to CLOSED
2015-07-08 15:13:00 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:13:00 - Window_FF_Bath state updated to OPEN
2015-07-08 15:13:00 - Window_FF_Bed state updated to OPEN
2015-07-08 15:13:00 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:13:00 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:13:30 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:13:30 - Window_GF_Kitchen state updated to CLOSED
2015-07-08 15:13:30 - Window_GF_Living state updated to CLOSED
2015-07-08 15:13:30 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:13:30 - Window_FF_Bath state updated to CLOSED
2015-07-08 15:13:30 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:13:30 - Window_FF_Office_Window state updated to OPEN
2015-07-08 15:13:30 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:14:00 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:14:00 - Window_GF_Kitchen state updated to OPEN
2015-07-08 15:14:00 - Window_GF_Living state updated to CLOSED
2015-07-08 15:14:00 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:14:00 - Window_FF_Bath state updated to OPEN
2015-07-08 15:14:00 - Window_FF_Bed state updated to OPEN
2015-07-08 15:14:00 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:14:00 - Window_FF_Office_Door state updated to OPEN
2015-07-08 15:14:30 - Window_GF_Frontdoor state updated to OPEN
2015-07-08 15:14:30 - Window_GF_Kitchen state updated to OPEN
2015-07-08 15:14:30 - Window_GF_Living state updated to OPEN
2015-07-08 15:14:30 - Window_GF_Toilet state updated to CLOSED
2015-07-08 15:14:30 - Window_FF_Bath state updated to CLOSED
2015-07-08 15:14:30 - Window_FF_Bed state updated to OPEN
2015-07-08 15:14:30 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:14:30 - Window_FF_Office_Door state updated to OPEN
2015-07-08 15:15:00 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:15:00 - Window_GF_Kitchen state updated to OPEN
2015-07-08 15:15:00 - Window_GF_Living state updated to OPEN
2015-07-08 15:15:00 - Window_GF_Toilet state updated to CLOSED
2015-07-08 15:15:00 - Window_FF_Bath state updated to CLOSED
2015-07-08 15:15:00 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:15:00 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:15:00 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:15:30 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:15:30 - Window_GF_Kitchen state updated to OPEN
2015-07-08 15:15:30 - Window_GF_Living state updated to CLOSED
2015-07-08 15:15:30 - Window_GF_Toilet state updated to CLOSED
2015-07-08 15:15:30 - Window_FF_Bath state updated to OPEN
2015-07-08 15:15:30 - Window_FF_Bed state updated to OPEN
2015-07-08 15:15:30 - Window_FF_Office_Window state updated to OPEN
2015-07-08 15:15:30 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:16:00 - Window_GF_Frontdoor state updated to OPEN
2015-07-08 15:16:00 - Window_GF_Kitchen state updated to OPEN
2015-07-08 15:16:00 - Window_GF_Living state updated to OPEN
2015-07-08 15:16:00 - Window_GF_Toilet state updated to CLOSED
2015-07-08 15:16:00 - Window_FF_Bath state updated to CLOSED
2015-07-08 15:16:00 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:16:00 - Window_FF_Office_Window state updated to OPEN
2015-07-08 15:16:00 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:16:30 - Window_GF_Frontdoor state updated to OPEN
2015-07-08 15:16:30 - Window_GF_Kitchen state updated to CLOSED
2015-07-08 15:16:30 - Window_GF_Living state updated to OPEN
2015-07-08 15:16:30 - Window_GF_Toilet state updated to CLOSED
2015-07-08 15:16:30 - Window_FF_Bath state updated to OPEN
2015-07-08 15:16:30 - Window_FF_Bed state updated to OPEN
2015-07-08 15:16:30 - Window_FF_Office_Window state updated to OPEN
2015-07-08 15:16:30 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:17:00 - Window_GF_Frontdoor state updated to OPEN
2015-07-08 15:17:00 - Window_GF_Kitchen state updated to CLOSED
2015-07-08 15:17:00 - Window_GF_Living state updated to OPEN
2015-07-08 15:17:00 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:17:00 - Window_FF_Bath state updated to OPEN
2015-07-08 15:17:00 - Window_FF_Bed state updated to OPEN
2015-07-08 15:17:00 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:17:00 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:17:30 - Window_GF_Frontdoor state updated to OPEN
2015-07-08 15:17:30 - Window_GF_Kitchen state updated to OPEN
2015-07-08 15:17:30 - Window_GF_Living state updated to OPEN
2015-07-08 15:17:30 - Window_GF_Toilet state updated to CLOSED
2015-07-08 15:17:30 - Window_FF_Bath state updated to OPEN
2015-07-08 15:17:30 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:17:30 - Window_FF_Office_Window state updated to OPEN
2015-07-08 15:17:30 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:18:00 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:18:00 - Window_GF_Kitchen state updated to CLOSED
2015-07-08 15:18:00 - Window_GF_Living state updated to CLOSED
2015-07-08 15:18:00 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:18:00 - Window_FF_Bath state updated to OPEN
2015-07-08 15:18:00 - Window_FF_Bed state updated to OPEN
2015-07-08 15:18:00 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:18:00 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:18:30 - Window_GF_Frontdoor state updated to OPEN
2015-07-08 15:18:30 - Window_GF_Kitchen state updated to OPEN
2015-07-08 15:18:30 - Window_GF_Living state updated to OPEN
2015-07-08 15:18:30 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:18:30 - Window_FF_Bath state updated to OPEN
2015-07-08 15:18:30 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:18:30 - Window_FF_Office_Window state updated to OPEN
2015-07-08 15:18:30 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:19:00 - Window_GF_Frontdoor state updated to OPEN
2015-07-08 15:19:00 - Window_GF_Kitchen state updated to OPEN
2015-07-08 15:19:00 - Window_GF_Living state updated to CLOSED
2015-07-08 15:19:00 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:19:00 - Window_FF_Bath state updated to CLOSED
2015-07-08 15:19:00 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:19:00 - Window_FF_Office_Window state updated to OPEN
2015-07-08 15:19:00 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:19:30 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:19:30 - Window_GF_Kitchen state updated to OPEN
2015-07-08 15:19:30 - Window_GF_Living state updated to OPEN
2015-07-08 15:19:30 - Window_GF_Toilet state updated to CLOSED
2015-07-08 15:19:30 - Window_FF_Bath state updated to CLOSED
2015-07-08 15:19:30 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:19:30 - Window_FF_Office_Window state updated to OPEN
2015-07-08 15:19:30 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:20:00 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:20:00 - Window_GF_Kitchen state updated to OPEN
2015-07-08 15:20:00 - Window_GF_Living state updated to CLOSED
2015-07-08 15:20:00 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:20:00 - Window_FF_Bath state updated to OPEN
2015-07-08 15:20:00 - Window_FF_Bed state updated to OPEN
2015-07-08 15:20:00 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:20:00 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:20:30 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:20:30 - Window_GF_Kitchen state updated to OPEN
2015-07-08 15:20:30 - Window_GF_Living state updated to OPEN
2015-07-08 15:20:30 - Window_GF_Toilet state updated to CLOSED
2015-07-08 15:20:30 - Window_FF_Bath state updated to OPEN
2015-07-08 15:20:30 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:20:30 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:20:30 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:21:00 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:21:00 - Window_GF_Kitchen state updated to CLOSED
2015-07-08 15:21:00 - Window_GF_Living state updated to OPEN
2015-07-08 15:21:00 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:21:00 - Window_FF_Bath state updated to CLOSED
2015-07-08 15:21:00 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:21:00 - Window_FF_Office_Window state updated to OPEN
2015-07-08 15:21:00 - Window_FF_Office_Door state updated to OPEN
2015-07-08 15:21:30 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:21:30 - Window_GF_Kitchen state updated to CLOSED
2015-07-08 15:21:30 - Window_GF_Living state updated to CLOSED
2015-07-08 15:21:30 - Window_GF_Toilet state updated to CLOSED
2015-07-08 15:21:30 - Window_FF_Bath state updated to CLOSED
2015-07-08 15:21:30 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:21:30 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:21:30 - Window_FF_Office_Door state updated to OPEN
2015-07-08 15:22:00 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:22:00 - Window_GF_Kitchen state updated to OPEN
2015-07-08 15:22:00 - Window_GF_Living state updated to OPEN
2015-07-08 15:22:00 - Window_GF_Toilet state updated to CLOSED
2015-07-08 15:22:00 - Window_FF_Bath state updated to CLOSED
2015-07-08 15:22:00 - Window_FF_Bed state updated to OPEN
2015-07-08 15:22:00 - Window_FF_Office_Window state updated to OPEN
2015-07-08 15:22:00 - Window_FF_Office_Door state updated to OPEN
2015-07-08 15:22:30 - Window_GF_Frontdoor state updated to OPEN
2015-07-08 15:22:30 - Window_GF_Kitchen state updated to OPEN
2015-07-08 15:22:30 - Window_GF_Living state updated to CLOSED
2015-07-08 15:22:30 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:22:30 - Window_FF_Bath state updated to CLOSED
2015-07-08 15:22:30 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:22:30 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:22:30 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:23:00 - Window_GF_Frontdoor state updated to OPEN
2015-07-08 15:23:00 - Window_GF_Kitchen state updated to CLOSED
2015-07-08 15:23:00 - Window_GF_Living state updated to OPEN
2015-07-08 15:23:00 - Window_GF_Toilet state updated to CLOSED
2015-07-08 15:23:00 - Window_FF_Bath state updated to OPEN
2015-07-08 15:23:00 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:23:00 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:23:00 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:23:30 - Window_GF_Frontdoor state updated to OPEN
2015-07-08 15:23:30 - Window_GF_Kitchen state updated to CLOSED
2015-07-08 15:23:30 - Window_GF_Living state updated to OPEN
2015-07-08 15:23:30 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:23:30 - Window_FF_Bath state updated to CLOSED
2015-07-08 15:23:30 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:23:30 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:23:30 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:24:00 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:24:00 - Window_GF_Kitchen state updated to OPEN
2015-07-08 15:24:00 - Window_GF_Living state updated to CLOSED
2015-07-08 15:24:00 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:24:00 - Window_FF_Bath state updated to OPEN
2015-07-08 15:24:00 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:24:00 - Window_FF_Office_Window state updated to OPEN
2015-07-08 15:24:00 - Window_FF_Office_Door state updated to OPEN
2015-07-08 15:24:30 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:24:30 - Window_GF_Kitchen state updated to CLOSED
2015-07-08 15:24:30 - Window_GF_Living state updated to CLOSED
2015-07-08 15:24:30 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:24:30 - Window_FF_Bath state updated to OPEN
2015-07-08 15:24:30 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:24:30 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:24:30 - Window_FF_Office_Door state updated to OPEN
2015-07-08 15:25:00 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:25:00 - Window_GF_Kitchen state updated to CLOSED
2015-07-08 15:25:00 - Window_GF_Living state updated to CLOSED
2015-07-08 15:25:00 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:25:00 - Window_FF_Bath state updated to CLOSED
2015-07-08 15:25:00 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:25:00 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:25:00 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:25:30 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:25:30 - Window_GF_Kitchen state updated to OPEN
2015-07-08 15:25:30 - Window_GF_Living state updated to OPEN
2015-07-08 15:25:30 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:25:30 - Window_FF_Bath state updated to OPEN
2015-07-08 15:25:30 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:25:30 - Window_FF_Office_Window state updated to OPEN
2015-07-08 15:25:30 - Window_FF_Office_Door state updated to OPEN
2015-07-08 15:26:00 - Window_GF_Frontdoor state updated to OPEN
2015-07-08 15:26:00 - Window_GF_Kitchen state updated to CLOSED
2015-07-08 15:26:00 - Window_GF_Living state updated to OPEN
2015-07-08 15:26:00 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:26:00 - Window_FF_Bath state updated to OPEN
2015-07-08 15:26:00 - Window_FF_Bed state updated to OPEN
2015-07-08 15:26:00 - Window_FF_Office_Window state updated to OPEN
2015-07-08 15:26:00 - Window_FF_Office_Door state updated to OPEN
2015-07-08 15:26:30 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:26:30 - Window_GF_Kitchen state updated to OPEN
2015-07-08 15:26:30 - Window_GF_Living state updated to OPEN
2015-07-08 15:26:30 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:26:30 - Window_FF_Bath state updated to CLOSED
2015-07-08 15:26:30 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:26:30 - Window_FF_Office_Window state updated to OPEN
2015-07-08 15:26:30 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:27:00 - Window_GF_Frontdoor state updated to OPEN
2015-07-08 15:27:00 - Window_GF_Kitchen state updated to CLOSED
2015-07-08 15:27:00 - Window_GF_Living state updated to OPEN
2015-07-08 15:27:00 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:27:00 - Window_FF_Bath state updated to CLOSED
2015-07-08 15:27:00 - Window_FF_Bed state updated to OPEN
2015-07-08 15:27:00 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:27:00 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:27:30 - Window_GF_Frontdoor state updated to OPEN
2015-07-08 15:27:30 - Window_GF_Kitchen state updated to CLOSED
2015-07-08 15:27:30 - Window_GF_Living state updated to CLOSED
2015-07-08 15:27:30 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:27:30 - Window_FF_Bath state updated to OPEN
2015-07-08 15:27:30 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:27:30 - Window_FF_Office_Window state updated to OPEN
2015-07-08 15:27:30 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:28:00 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:28:00 - Window_GF_Kitchen state updated to CLOSED
2015-07-08 15:28:00 - Window_GF_Living state updated to CLOSED
2015-07-08 15:28:00 - Window_GF_Toilet state updated to CLOSED
2015-07-08 15:28:00 - Window_FF_Bath state updated to CLOSED
2015-07-08 15:28:00 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:28:00 - Window_FF_Office_Window state updated to OPEN
2015-07-08 15:28:00 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:28:30 - Window_GF_Frontdoor state updated to OPEN
2015-07-08 15:28:30 - Window_GF_Kitchen state updated to OPEN
2015-07-08 15:28:30 - Window_GF_Living state updated to OPEN
2015-07-08 15:28:30 - Window_GF_Toilet state updated to CLOSED
2015-07-08 15:28:30 - Window_FF_Bath state updated to CLOSED
2015-07-08 15:28:30 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:28:30 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:28:30 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:29:00 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:29:00 - Window_GF_Kitchen state updated to CLOSED
2015-07-08 15:29:00 - Window_GF_Living state updated to CLOSED
2015-07-08 15:29:00 - Window_GF_Toilet state updated to CLOSED
2015-07-08 15:29:00 - Window_FF_Bath state updated to OPEN
2015-07-08 15:29:00 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:29:00 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:29:00 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:29:30 - Window_GF_Frontdoor state updated to OPEN
2015-07-08 15:29:30 - Window_GF_Kitchen state updated to OPEN
2015-07-08 15:29:30 - Window_GF_Living state updated to CLOSED
2015-07-08 15:29:30 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:29:30 - Window_FF_Bath state updated to CLOSED
2015-07-08 15:29:30 - Window_FF_Bed state updated to OPEN
2015-07-08 15:29:30 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:29:30 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:30:00 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:30:00 - Window_GF_Kitchen state updated to CLOSED
2015-07-08 15:30:00 - Window_GF_Living state updated to CLOSED
2015-07-08 15:30:00 - Window_GF_Toilet state updated to CLOSED
2015-07-08 15:30:00 - Window_FF_Bath state updated to CLOSED
2015-07-08 15:30:00 - Window_FF_Bed state updated to OPEN
2015-07-08 15:30:00 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:30:00 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:30:30 - Window_GF_Frontdoor state updated to OPEN
2015-07-08 15:30:30 - Window_GF_Kitchen state updated to CLOSED
2015-07-08 15:30:30 - Window_GF_Living state updated to OPEN
2015-07-08 15:30:30 - Window_GF_Toilet state updated to CLOSED
2015-07-08 15:30:30 - Window_FF_Bath state updated to OPEN
2015-07-08 15:30:30 - Window_FF_Bed state updated to OPEN
2015-07-08 15:30:30 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:30:30 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:31:00 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:31:00 - Window_GF_Kitchen state updated to OPEN
2015-07-08 15:31:00 - Window_GF_Living state updated to OPEN
2015-07-08 15:31:00 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:31:00 - Window_FF_Bath state updated to OPEN
2015-07-08 15:31:00 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:31:00 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:31:00 - Window_FF_Office_Door state updated to OPEN
2015-07-08 15:31:30 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:31:30 - Window_GF_Kitchen state updated to CLOSED
2015-07-08 15:31:30 - Window_GF_Living state updated to CLOSED
2015-07-08 15:31:30 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:31:30 - Window_FF_Bath state updated to CLOSED
